Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
0,1,370000.0,0.0,100.0,2,0.0,10.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,235000.0,76.0,99.0,0,0.0,0.0,2.0,0,197820175.2,835,2.0,0.75,2,51.02983825,4.0562275450955,844362754.4
1,2,499000.0,74.0,139.0,3,1.0,15.0,2.0,117,535581710.6,1809,3.0,1.0,2,50.85172925,4.6931307510281,1962352502.0
0,1,249000.0,55.0,70.0,2,1.0,15.0,2.0,0,159736638.6,489,2.0,1.0,2,51.1793505,3.7471789,664169354.5
0,1,159000.0,57.0,50.0,1,1.0,15.0,2.0,0,372481433.6,1157,2.0,1.0,2,50.9429755,4.0396424203486,1573573009.0
0,1,595000.0,35.0,65.0,2,1.0,0.0,2.0,0,191782071.2,528,2.0,1.0,2,51.34942965,3.3233738606453,806121702.9
1,4,325000.0,61.0,230.0,6,1.0,0.0,5.0,1540,317077415.4,653,4.0,1.0,3,50.4643434,4.0453329,1446530680.0
0,1,185000.0,49.0,65.0,2,1.0,0.0,2.0,0,375498087.8,1358,2.0,0.0,2,51.02803335,4.471321199996,1536825130.0
1,2,699000.0,0.0,152.0,3,2.0,12.0,2.5,255,191782071.2,528,2.0,1.0,2,51.3126954,3.2505004,806121702.9
0,1,390000.0,1.0,96.0,2,0.0,16.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,275000.0,39.0,135.0,2,1.0,15.0,2.0,0,41054710.66,344,2.0,1.0,2,51.14416005,2.7283986495034,207279065.5
1,2,665000.0,29.0,256.0,4,2.0,0.0,2.0,7640,27262405.27,225,3.0,1.0,2,50.7903918,3.5082669,119492827.8
1,2,164500.0,79.0,120.0,3,1.0,20.0,2.0,94,315367458.8,992,2.0,1.0,2,50.81788085,3.2784153903743,1373285852.0
1,2,295000.0,39.0,252.0,3,1.0,21.0,3.0,220,74509484.58,788,2.0,2.0,2,50.7476192,3.6020465,384137941.6
0,1,325000.0,51.0,100.0,2,1.0,10.0,5.0,0,221943581.2,4760,2.0,2.0,1,50.8292429,4.4432967,789281846.9
0,1,229000.0,35.0,108.0,2,1.0,5.0,1.0,0,197820175.2,835,2.0,1.0,2,51.02983825,4.0562275450955,844362754.4
0,1,377000.0,10.0,136.0,3,1.0,15.0,2.0,0,35495984.3,400,2.0,2.0,2,51.1392427,4.7543972,160164940.5
0,1,395000.0,32.0,90.0,3,1.0,45.0,3.0,0,201482761.9,355,2.0,1.0,2,50.9845547,3.5628186,818604377.2
0,1,750000.0,4.0,200.0,2,0.0,19.0,1.0,0,67411786.4,1081,2.0,1.0,2,51.31651475,3.1297578035057,343973373.6
0,1,795000.0,4.0,95.0,2,1.0,14.0,1.0,0,191782071.2,528,2.0,1.0,2,51.3126954,3.2505004,806121702.9
0,1,550000.0,54.0,136.0,3,2.0,9.0,3.0,0,240295305.3,8332,2.0,0.0,1,50.8466928,4.4284842,906316263.9
0,1,185000.0,58.0,85.0,3,1.0,2.0,3.0,0,1732023153.0,2666,3.0,1.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,285000.0,56.0,125.0,3,1.0,4.0,3.0,0,1732023153.0,2666,3.0,2.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,365000.0,57.0,80.0,2,1.0,9.0,5.0,0,412216167.7,3795,2.0,1.0,1,50.8018201,4.3372348,1561760306.0
0,1,695000.0,92.0,150.0,2,1.0,15.0,3.0,0,339227504.3,13925,2.0,2.0,1,50.8222854,4.3815707,1302755059.0
0,1,265000.0,10.0,86.0,3,1.0,15.0,2.0,0,106004475.9,1032,2.0,2.0,2,51.0565194,4.3723517,453126635.7
0,1,219000.0,58.0,104.0,3,1.0,15.0,2.0,0,1732023153.0,2666,4.0,1.0,2,51.2115284,4.4695254092764,7913652026.0
0,1,315000.0,14.0,78.0,1,1.0,30.0,2.0,0,375498087.8,1358,2.0,1.0,2,51.02803335,4.471321199996,1536825130.0
0,1,320000.0,25.0,111.0,3,1.0,15.0,2.0,0,106004475.9,1032,2.0,1.0,2,51.0565194,4.3723517,453126635.7
0,1,365000.0,1.0,101.0,3,3.0,13.0,1.0,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,169000.0,106.0,100.0,2,1.0,10.0,2.0,150,53337807.39,3546,2.0,2.0,3,50.64257,5.5190161,312267540.4
0,1,450000.0,6.0,145.0,3,1.0,0.0,1.0,0,1096990579.0,1709,2.0,2.0,2,51.0397129,3.7141549000597,4532573422.0
1,2,389000.0,39.0,235.0,4,1.0,30.0,2.0,283,86745900.95,636,2.0,2.0,2,50.878059,4.0059338596505,361899957.3
0,1,399500.0,39.0,91.0,2,1.0,15.0,2.0,0,253815090.5,1772,2.0,2.0,2,51.2303177,2.9203275,1224815290.0
1,2,495000.0,39.0,210.0,4,3.0,0.0,2.5,0,306854640.2,16504,2.0,1.0,1,50.8676041,4.3737121,1500117874.0
0,1,249000.0,89.0,245.0,4,3.0,14.0,5.0,0,449947939.5,5949,2.0,0.0,1,50.883392,4.3487134,2131778502.0
1,2,249000.0,49.0,175.0,3,1.0,18.0,3.0,120,84353980.45,1519,2.0,1.0,2,50.8843903,4.0665468327116,359174126.2
0,1,169000.0,49.0,70.0,1,1.0,0.0,2.5,0,449947939.5,5949,2.0,0.0,1,50.883392,4.3487134,2131778502.0
1,2,365000.0,39.0,114.0,3,0.0,15.0,2.0,143,1096990579.0,1709,2.0,2.0,2,51.0397129,3.7141549000597,4532573422.0
1,4,465000.0,94.0,235.0,3,3.0,0.0,5.0,200,82525602.16,8741,3.0,1.0,1,50.8639835,4.292702,363580839.3
1,2,395000.0,39.0,215.0,4,1.0,0.0,2.0,217,372481433.6,1157,3.0,2.0,2,50.9429755,4.0396424203486,1573573009.0
1,4,845000.0,30.0,300.0,3,2.0,65.0,2.0,543,129690954.8,1315,3.0,2.0,3,50.7133548,4.5272896887008,475174920.8
1,4,845000.0,30.0,300.0,3,2.0,65.0,2.0,543,168599427.0,844,3.0,2.0,3,50.6930127,4.5738899,664983931.6
0,1,275000.0,48.0,108.0,2,1.0,25.0,3.0,0,135828538.6,478,2.0,1.0,3,50.5931607,4.2860216341575,540140462.0
0,1,265000.0,0.0,59.0,1,0.0,10.0,2.5,0,1096990579.0,1709,2.0,1.0,2,51.0397129,3.7141549000597,4532573422.0
0,1,109000.0,7.0,33.0,2,1.0,15.0,2.5,0,95019501.64,395,2.0,2.0,2,51.0743268,5.3844821648536,483405034.2
0,1,399000.0,0.0,166.0,3,2.0,28.0,1.0,0,148816609.0,503,2.0,2.0,2,50.7846322,4.9339239586832,636385296.1
0,1,365000.0,0.0,140.0,2,1.0,30.0,1.0,0,148816609.0,503,2.0,2.0,2,50.7846322,4.9339239586832,636385296.1
1,2,187000.0,49.0,105.0,2,1.0,5.0,3.0,0,148816609.0,503,2.0,0.0,2,50.7846322,4.9339239586832,636385296.1
1,2,215000.0,125.0,180.0,3,1.0,15.0,3.0,228,148816609.0,503,2.0,0.0,2,50.7846322,4.9339239586832,636385296.1
1,2,439000.0,174.0,200.0,4,1.0,15.0,3.0,1499,46746199.7,277,4.0,1.0,2,50.8473461,4.8336178052558,173109226.6
1,2,329000.0,45.0,263.0,3,1.0,15.0,3.0,644,148816609.0,503,4.0,1.0,2,50.7846322,4.9339239586832,636385296.1
1,2,239000.0,63.0,151.0,3,2.0,11.0,5.0,200,148816609.0,503,2.0,0.0,2,50.7846322,4.9339239586832,636385296.1
1,2,429000.0,61.0,231.0,3,1.0,15.0,2.0,986,27605310.46,182,3.0,1.0,2,50.94677135,5.0136688435307,117288354.6
0,1,635000.0,3.0,160.0,3,1.0,50.0,1.0,0,158255371.7,899,2.0,1.0,2,50.87620025,3.4257380400092,688604539.6
1,2,230000.0,64.0,133.0,2,1.0,40.0,3.0,406,63259591.72,681,3.0,2.0,3,50.6547149,5.4512607,329211604.4
1,2,329000.0,41.0,140.0,4,1.0,30.0,3.0,981,34072093.55,67,4.0,0.0,3,49.9760182,5.3877654,183072755.3
1,2,450000.0,69.0,132.0,3,2.0,10.0,3.0,195,139253384.2,898,3.0,2.0,2,50.7804875,4.1958992,591483761.0
1,2,625000.0,60.0,160.0,3,1.0,10.0,5.0,300,160640857.0,3943,3.0,0.0,1,50.8156571,4.4331389,589237519.7
1,4,849000.0,101.0,327.0,4,1.0,15.0,3.0,1576,109578595.7,728,4.0,0.0,2,50.9809343,3.8735741,465488458.9
0,0,99000.0,54.0,66.0,1,1.0,0.0,2.0,0,588839895.0,2852,2.0,0.0,3,50.648205,5.541864,2804560594.0
