Locality	PopulationDensity	Taxes	Income	Longitude	Latitude
3320	201	37184909.02	141428788.2	4.881141936	50.7877912
3321	201	37184909.02	141428788.2	4.9193571	50.7665968
3350	199	32618312.47	138399567.7	5.053345558	50.84486375
3360	270	63905125.33	228711655.6	4.771431808	50.8241245
3370	277	46746199.7	173109226.6	4.833617805	50.8473461
3380	201	26265216.46	105881772.1	4.960110793	50.8510351
3381	201	26265216.46	105881772.1	4.960877619	50.88734525
3384	201	26265216.46	105881772.1	4.916755414	50.8694607
3390	261	53519908.62	213174561.3	4.860599744	50.93414405
3391	261	53519908.62	213174561.3	4.917343133	50.8950541
3400	307	72018918.23	301862196.5	5.007492232	50.78710135
3401	307	72018918.23	301862196.5	5.060942049	50.72608345
3404	307	72018918.23	301862196.5	5.100653433	50.7653693
3440	186	35629916.28	155855414.7	5.087123767	50.8653457
3450	176	23628296.4	107193874.8	5.101581003	50.89519195
3454	176	23628296.4	107193874.8	5.156491748	50.88594765
3460	182	27605310.46	117288354.6	5.013668844	50.94677135
3461	182	27605310.46	117288354.6	4.9541212	50.9212106
3470	161	33370739.72	145944799.8	5.068392496	50.90566935
3471	161	33370739.72	145944799.8	5.001462802	50.8668096
3472	161	33370739.72	145944799.8	5.006511605	50.89309326
3473	161	33370739.72	145944799.8	5.003771633	50.9129375
3500	787	357566926.3	1486443144	5.336838397	50.930358
3501	787	357566926.3	1486443144	5.35129064	50.8769276
3510	787	357566926.3	1486443144	5.250978464	50.9524495
3511	787	357566926.3	1486443144	5.3052007	50.9439384
3512	787	357566926.3	1486443144	5.244429194	50.91698375
3520	551	87791767.32	385379859.9	5.3677683	50.9909835
3530	395	95019501.64	483405034.2	5.384482165	51.0743268
3540	298	54268324.24	233369416.7	5.209857666	50.94876395
3545	261	38423199.37	170156443.9	5.107391344	50.9384339
3550	656	112824473.1	542312631.8	5.283553129	51.04153335
3560	285	62793639.68	274105458.1	5.1372552	50.9657859
3570	422	50902820.38	215717532.5	5.3079873	50.8754731
3580	615	152270120.5	735280495.4	5.220809082	51.0502026
3581	615	152270120.5	735280495.4	5.244356551	51.08973005
3582	615	152270120.5	735280495.4	5.271159655	51.06978945
3583	615	152270120.5	735280495.4	5.161672557	51.04746375
3590	473	79776850.89	347406006.2	5.4200307	50.9078485
3600	775	202956177.6	1032432338	5.5001456	50.9654864
3620	447	74900928.49	453272123.3	5.6091315	50.8839456
3621	447	74900928.49	453272123.3	5.662609476	50.9284078
3630	523	96290750.52	566903723.8	5.7128515	50.9863045
3631	523	96290750.52	566903723.8	5.7147232	50.9408858
3640	226	31964273.47	196082444.2	5.808924333	51.1492029
3650	324	61479782.08	326568634.6	5.699144386	51.0328615
3660	205	82850243.88	397885934.2	5.581962	51.0429949
3665	373	30685567.54	143483958.3	5.572202585	51.0005396
3668	373	30685567.54	143483958.3	5.616166004	51.0182495
3670	205	82850243.88	397885934.2	5.528946361	51.1303479
3680	335	80192021.34	425068508	5.791733	51.0947181
3690	230	28169110.55	131889018.5	5.5725548	50.9318992
3700	366	118029875.2	544369141.6	5.5030479	50.8064756
3717	56	348015.0611	1619404.224	5.4260923	50.7273829
3720	258	36228122.39	155827450.9	5.377000029	50.86195255
3721	258	36228122.39	155827450.9	5.429857466	50.8667966
3722	258	36228122.39	155827450.9	5.407345632	50.85566395
3723	258	36228122.39	155827450.9	5.400563228	50.84255235
3724	258	36228122.39	155827450.9	5.425909174	50.8326029
3730	335	37680334.1	171698829.8	5.4865309	50.8500788
3732	335	37680334.1	171698829.8	5.448166928	50.8422859
3740	431	118377159.6	553204911.6	5.4734935	50.8921566
3742	431	118377159.6	553204911.6	5.534048641	50.8523326
3746	431	118377159.6	553204911.6	5.556142701	50.883259
3770	291	53763492.93	281882398.3	5.5369013	50.8017668
3790	87	12363546.19	70151218.8	5.842934228	50.74087835
3791	87	12363546.19	70151218.8	5.881877603	50.72838165
3792	87	12363546.19	70151218.8	5.824242712	50.72830265
3793	87	12363546.19	70151218.8	5.869530469	50.75322225
3798	87	12363546.19	70151218.8	5.77194619	50.7611375
3800	387	159315989	718134588.6	5.2127604	50.7813901
3803	387	159315989	718134588.6	5.146158129	50.83411245
3806	387	159315989	718134588.6	5.132211277	50.78000075
3830	279	29759221.99	134021859.5	5.311174893	50.82338225
3831	279	29759221.99	134021859.5	5.332235963	50.82704785
