Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
HOUSE,1970,HOUSE,1960,445000,New Price,4,168,1,0,1,0,E,1,20,1,270,304,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20006075
HOUSE,3078,HOUSE,1999,559000,New classified,4,202,None,0,1,0,B,1,None,0,None,428,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/everberg/3078/20365140
HOUSE,6920,HOUSE,2023,229900,New classified,3,130,1,0,1,0,B,1,1,1,1,366,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20365135
APARTMENT,1200,GROUND_FLOOR,1930,795000,New classified,3,159,1,0,2,0,C,1,28,1,39,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-lambert/1200/20365133
APARTMENT,9000,DUPLEX,None,385000,New classified,2,83,1,0,2,0,B,1,8,1,50,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/20365134
HOUSE,1702,HOUSE,1938,329000,New classified,3,114,1,0,1,1,F,1,None,0,None,485,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1702/20365131
HOUSE,3920,HOUSE,1950,315000,New classified,3,188,None,0,1,0,C,1,None,0,None,1080,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/20365129
HOUSE,9910,COUNTRY_COTTAGE,1874,229000,New classified,3,194,1,0,1,0,F,1,None,0,None,836,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/country-cottage/for-sale/aalter/9910/20365128
HOUSE,8480,VILLA,1996,539000,None,4,None,1,0,1,0,C,1,None,0,None,1135,4,0,GOOD,https://www.immoweb.be/en/classified/villa/for-sale/ichtegem/8480/20223864
APARTMENT,1030,APARTMENT,1960,285000,New classified,2,109,1,0,1,0,D,1,None,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20365130
HOUSE,9880,HOUSE,None,265000,New classified,2,124,None,0,1,0,F,0,None,0,None,248,None,0,None,https://www.immoweb.be/en/classified/house/for-sale/aalter/9880/20365124
APARTMENT,1000,APARTMENT,1840,640000,New classified,2,145,1,1,2,0,D,0,None,0,None,0,3,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20365125
HOUSE,5600,HOUSE,2023,239900,New classified,3,120,1,0,1,0,A,1,1,1,1,327,4,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/villers-le-gambon/5600/20365123
APARTMENT,3300,APARTMENT,1967,249000,New classified,3,92,0,0,1,0,C,1,None,0,None,0,2,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/tienen%20%28tienen%29/3300/20365122
HOUSE,6542,HOUSE,2023,299900,New classified,3,165,1,0,1,0,B,1,1,1,1,1255,4,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/sars-la-buissi%C3%A8re/6542/20365115
